"","TL0_keTL0_thy","TL0_negroot_thy","TL0_posroot_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_posroot","AFIR_thy","param.to.change","fold.change.param","TL0_sim","T0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_idx","TLss","param.to.change1","fold.change.param1","param","drug"
"1",3.66667e-05,NA,Inf,5e-05,2.5e-05,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,0.00015,1e-04,3.70249e-05,5.03445e-05,2.50052e-05,7.33333,6905.02,8.35561e-05,314.9,3.09366e-09,0.00015,1e-04,"ksynT","Pembro"
"2",0.000140477,NA,Inf,0.000191559,9.57797e-05,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,0.000574678,0.000383119,0.000141077,0.000192136,9.57994e-05,7.33333,6905.02,8.31848e-05,314.9,1.17354e-08,0.000574678,0.000383119,"ksynT","Pembro"
"3",0.000538193,NA,Inf,0.0007339,0.00036695,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,0.0022017,0.0014678,0.000539157,0.000734826,0.000367025,7.33333,6904.99,8.32786e-05,314.9,4.49002e-08,0.0022017,0.0014678,"ksynT","Pembro"
"4",0.00206192,NA,Inf,0.00281171,0.00140585,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,0.00843512,0.00562341,0.00206339,0.00281312,0.00140614,7.33333,6904.88,8.34049e-05,314.9,1.72097e-07,0.00843512,0.00562341,"ksynT","Pembro"
"5",0.00789959,NA,Inf,0.0107722,0.00538609,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,0.0323165,0.0215443,0.00790163,0.0107741,0.00538719,7.33333,6904.51,8.344e-05,314.9,6.59312e-07,0.0323165,0.0215443,"ksynT","Pembro"
"6",0.0302648,NA,Inf,0.0412702,0.0206351,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,0.123811,0.0825404,0.0302671,0.0412724,0.0206393,7.33333,6903.07,8.34717e-05,314.9,2.52645e-06,0.123811,0.0825404,"ksynT","Pembro"
"7",0.11595,NA,Inf,0.158114,0.0790569,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,0.474342,0.316228,0.115951,0.158115,0.0790732,7.33333,6897.52,8.35435e-05,314.9,9.68696e-06,0.474342,0.316228,"ksynT","Pembro"
"8",0.444227,NA,Inf,0.605764,0.302882,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,1.81729,1.21153,0.444218,0.605756,0.302944,7.33333,6876.29,8.3804e-05,314.9,3.72272e-05,1.81729,1.21153,"ksynT","Pembro"
"9",1.70192,NA,Inf,2.32079,1.1604,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,6.96238,4.64159,1.70179,2.32069,1.16064,7.33333,6794.92,8.48068e-05,314.9,0.000144323,6.96238,4.64159,"ksynT","Pembro"
"10",6.52036,NA,Inf,8.8914,4.4457,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,26.6742,17.7828,6.51507,8.88878,4.44667,7.33333,6483.2,8.89261e-05,314.9,0.00057936,26.6742,17.7828,"ksynT","Pembro"
"11",24.9807,NA,Inf,34.0646,17.0323,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,102.194,68.1292,24.4326,33.946,17.0369,7.3333,5288.94,0.000111216,314.9,0.0027173,102.194,68.1292,"ksynT","Pembro"
"12",95.7058,NA,Inf,130.508,65.2539,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,391.524,261.016,72.1152,128.844,65.3756,7.328,714.947,0.00102291,314.9,0.0737672,391.524,261.016,"ksynT","Pembro"
"13",366.667,NA,Inf,500,250,7.33333,6887.92,8.40955e-05,NA,0,8.412e-05,1500,1000,122.326,495.194,703.307,4.37318,0.0110297,1.72762,335.9,211.333,1500,1000,"ksynT","Pembro"
"14",0.366667,NA,Inf,0.5,2500,7.33333,6887.92,0.307464,NA,0,0.307497,6e-04,1e-04,0.366661,0.499994,422.035,7.33315,6882.17,0.0516811,314.9,0.0189494,6e-04,1e-04,"keDT","Pembro"
"15",0.366667,NA,Inf,0.5,652.539,7.33333,6887.92,0.0802925,NA,0,0.080301,0.00229871,0.000383119,0.366661,0.499994,330.125,7.33319,6881.99,0.0404447,314.9,0.0148295,0.00229871,0.000383119,"keDT","Pembro"
"16",0.366667,NA,Inf,0.5,170.323,7.33333,6887.92,0.020997,NA,0,0.0209993,0.0088068,0.0014678,0.366661,0.499994,157.714,7.33327,6881.65,0.0193568,314.9,0.00709739,0.0088068,0.0014678,"keDT","Pembro"
